KODE	TOPIK	SUBTOPIK	LINK FINAL PDF LMS
08KMERMAT3201BS_V1	Teorema Pythagoras	Konsep Pythagoras dan Segitiga Istimewa	https://drive.google.com/file/d/1rlKvhY8rTKRe3AHz6XJNMjWeGgX_ZlU-/view?usp=share_link
08KMERMAT3202BS_V1	Teorema Pythagoras	Tripel Pythagoras dan Penerapannya	https://drive.google.com/file/d/1Cy01sj63Qgq4BVIfqx65GBxZmHAfL0ez/view?usp=share_link
08KMERMAT3301BS_V1	SPLDV	Persamaan dan Pertidaksamaan Linear Satu Variabel serta Penerapannya	https://drive.google.com/file/d/1AP3p61QTmO-nUYazOHQj_1eoEzSD6ZpI/view?usp=share_link
08KMERMAT3302BS_V1	SPLDV	SPLDV	https://drive.google.com/file/d/19AWMNLYNHI272HtgEOe6a9SMTPiquRVF/view?usp=share_link
08KMERMAT3303BS_V1	SPLDV	Aplikasi SPLDV	https://drive.google.com/file/d/1P6PYlT8XmM8DGtkILwuqNYhvIZbwuIyJ/view?usp=share_link
08KMERMAT9201BS_V1	Latihan Topik Semester 1	Latihan Topik Semester 1	https://drive.google.com/file/d/1ayAPOFqOurCLCVErnXJkhTt8SAAyM7UR/view?usp=share_link
12KR13MAT3001BS_V1	Bidang Ruang (Dimensi Tiga) (Wajib)	Bidang Ruang (Bagian 1)	https://drive.google.com/file/d/1Vbzcui1PdS_AiAeVUJnHcseyW-x7i-mN/view?usp=share_link
12KR13MAT3002BS_V1	Bidang Ruang (Dimensi Tiga) (Wajib)	Bidang Ruang (Bagian 2)	https://drive.google.com/file/d/1jQfK2uJYzsKOjpStbta029Ik0wK6eIil/view?usp=share_link
12KR13MAT3101BS_V1	Statistika Deskriptif (Wajib)	Penyajian Data dan Ukuran Pemusatan Data Tunggal dan Kelompok	https://drive.google.com/file/d/1exOhkWIrs18cfhD50Nth2GPlHV2sBaOv/view?usp=share_link
12KR13MAT3102BS_V1	Statistika Deskriptif (Wajib)	Ukuran Letak Data, Ukuran Penyebaran	https://drive.google.com/file/d/1X9UFigENrQtBPyF2aHR91PE7tm6fYaeZ/view?usp=share_link
12KR13MAT3201BS_V1	Aturan Pencacahan (Kombinatorika) (Wajib)	Aturan Pencacahan (Bagian 1)	https://drive.google.com/file/d/19ZxIdLib1hg3Es8hhLd4Wwdc-S_T9QRF/view?usp=share_link
12KR13MAT3202BS_V1	Aturan Pencacahan (Kombinatorika) (Wajib)	Aturan Pencacahan (Bagian 2)	https://drive.google.com/file/d/1UCJt11QN7_s8I1bgxm4v8OobHH6j4ZkD/view?usp=share_link
12KR13MAT3301BS_V1	Teori Peluang (Wajib)	Teori Peluang	https://drive.google.com/file/d/1CtA_Jelbs26ZsYHbtRUBvwRSUhrMUgSr/view?usp=share_link
12KR13MAT9201BS_V1	Drill Soal (Wajib)	Latihan Soal Kombinatorika dan Teori Peluang	https://drive.google.com/file/d/1yZSUA74W6y1ydT5yZUr--r99EoAds4p4/view?usp=share_link
12KR13MAT3401BS_V1	Limit (Minat)	Limit Fungsi Aljabar	https://drive.google.com/file/d/1g488QV4hwpoZxHl5Go9llsGYQWLt-clY/view?usp=share_link
12KR13MAT3402BS_V1	Limit (Minat)	Limit Fungsi Trigonometri dan Limit Tak Hingga	https://drive.google.com/file/d/13CKKLwX4eSCKi9-ZOWQd5gc3dbO1kgVK/view?usp=share_link
12KR13MAT3501BS_V1	Turunan (Minat)	Turunan Fungsi Aljabar	https://drive.google.com/file/d/1l8iMccugmuOxX9O7r0WCjIKGEH-A1obU/view?usp=share_link
12KR13MAT3502BS_V1	Turunan (Minat)	Turunan Trigonometri dan Penerapan Turunan	https://drive.google.com/file/d/13QiKxo4c3UNMP8EOchyiUYCn27SLulvG/view?usp=share_link
12KR13MAT3601BS_V1	Integral (Minat)	Integral Fungsi Aljabar	https://drive.google.com/file/d/1icR8nDJa7pKWrJGqMlxooz0eekr20drC/view?usp=share_link
